"ID","mean.elev","total.area"
1,NA,82667732.8426056
2,NA,24800319.8528061
3,2.51808285713196,918530.364917755
4,-6.28657960891724,2755591.09475327
5,-16.181058883667,2755591.09475327
6,3.16249680519104,918530.364917755
7,4.63940715789795,4592651.82458878
8,5.0816056728363,918530.364916801
9,14.8758256733418,3674121.45967102
10,6.6065958738327,2755591.09475422
11,8.79355907440186,8266773.2842598
12,5.41026073694229,1837060.72983551
13,2.02416336536407,1837060.72983742
14,-0.844330489635468,2755591.09475327
15,2.64522075653076,12859425.1088438
16,1.53799606114626,1837060.72983551
17,4.33060002326965,1837060.72983551
18,-0.0634845793247223,918530.364918709
19,2.34127265959978,1837060.7298336
20,NA,7348242.91933823
21,NA,3674121.45966911
22,4.57865023612976,918530.364917755
23,NA,1837060.72983742
24,4.55625092983246,1837060.72983551
25,6.89752864837646,1837060.72983456
26,2.59413617135494,866174134.117187
27,NA,918530.364917755
28,3.70911514759064,2755591.09475327
29,NA,6429712.55442429
30,3.94008451700211,918530.364917755
31,NA,75319489.9232368
32,NA,3674121.45967102
33,NA,918530.364916801
34,2.55846318602562,2755591.09475327
35,-26.0553874969482,918530.364916801
36,NA,40415336.0563726
37,1.55698184296489,2755591.09475327
38,0.646493457257748,918530.364916801
39,NA,918530.364917755
40,NA,918530.364917755
41,NA,918530.364917755
42,NA,40415336.0563831
43,NA,918530.364917755
44,NA,918530.364916801
45,NA,2755591.09475136
46,NA,918530.364917755
47,NA,1837060.7298336
48,8.28270673751831,9185303.64917564
49,NA,3674121.45967102
50,8.64460581541061,2755591.09474945
51,NA,918530.364917755
52,NA,1837060.72983742
53,NA,10103834.0140991
54,6.87381780147552,918530.364917755
55,NA,918530.364916801
56,NA,918530.364917755
57,NA,918530.364917755
58,20.3126464486122,2755591.09475231
59,30.6927480697632,22963259.1229429
60,NA,918530.364918709
61,NA,23881789.4878483
62,9.18034195899963,918530.364917755
63,29.5990524291992,3674121.45967293
64,-1.59661531448364,1837060.72983646
65,5.778151512146,8266773.28426361
66,-6.54701821009318,4592651.82458878
67,4.63516807556152,7348242.91934204
68,NA,18370607.2983513
69,NA,1837060.7298336
70,5.1501784324646,918530.364917755
71,-0.559850037097931,918530.364916801
72,NA,918530.364917755
73,NA,36741214.5966969
74,5.13942074775696,918530.364916801
75,3.56858921051025,4592651.82458782
76,6.60797476768494,1837060.72983456
77,NA,12859425.1088533
78,4.24650182723999,20207668.0281792
79,8.97025966644287,2755591.09475231
80,NA,918530.364917755
81,12.3997220993042,918530.364916801
82,15.3519172668457,918530.364916801
83,28.8152132034302,1837060.72983551
84,37.1006894111633,1837060.7298336
85,NA,6429712.55442429
86,4.9717854042848,132268372.548101
87,11.8065938949585,1837060.72983551
88,NA,918530.364916801
89,1.50513644218445,4592651.82458496
90,18.0018327236176,918530.364916801
91,22.5226230621338,2755591.09474945
92,8.04048442840576,1837060.72983551
93,14.8013229370117,3674121.45967102
94,11.7208971977234,2755591.09475231
95,10.3291964530945,4592651.82458782
96,31.1433429718018,8266773.28425789
97,19.5343308448792,918530.364917755
98,13.3577561378479,918530.364917755
99,63.1190929412842,918530.364917755
100,9.31772041320801,5511182.18951225
101,26.4578323364258,2755591.09475327
102,54.707347869873,1837060.7298336
103,60.8892021179199,3674121.45966911
104,57.7409362792969,918530.364916801
105,14.5933685302734,4592651.82458973
106,51.7613754272461,3674121.45967293
107,52.4559326171875,2755591.09475327
108,54.5278472900391,1837060.72983551
